loan_id,report_date,principal_outstanding,interest_outstanding,principal_overdue,interest_overdue,days_past_due
L001,2025-05-01,9588,311,71,20,65
L001,2025-05-02,9528,311,87,35,5
L001,2025-05-03,9453,301,1,23,15
L001,2025-05-04,9445,316,129,20,35
L001,2025-05-05,9545,300,0,0,0
L001,2025-05-06,9514,305,58,41,65
L001,2025-05-07,9415,306,14,46,35
L001,2025-05-08,9552,310,54,2,95
L001,2025-05-09,9552,315,20,8,65
L001,2025-05-10,9471,297,59,13,5
L002,2025-05-01,9652,307,0,0,0
L002,2025-05-02,9658,300,110,6,5
L002,2025-05-03,9734,313,34,13,35
L002,2025-05-04,9578,310,0,0,0
L002,2025-05-05,9740,298,133,41,35
L002,2025-05-06,9688,299,190,17,35
L002,2025-05-07,9698,326,189,35,5
L002,2025-05-08,9647,312,14,7,95
L002,2025-05-09,9552,320,81,46,95
L002,2025-05-10,9718,302,187,44,65
L003,2025-05-01,9476,274,70,8,65
L003,2025-05-02,9405,275,0,0,0
L003,2025-05-03,9460,291,162,34,15
L003,2025-05-04,9418,294,0,0,0
L003,2025-05-05,9500,271,134,8,5
L003,2025-05-06,9379,298,47,22,35
L003,2025-05-07,9504,296,171,39,95
L003,2025-05-08,9506,298,100,46,95
L003,2025-05-09,9410,298,4,25,95
L003,2025-05-10,9438,272,136,14,95
L004,2025-05-01,9391,283,178,31,5
L004,2025-05-02,9463,267,0,0,0
L004,2025-05-03,9364,289,142,42,35
L004,2025-05-04,9479,283,159,6,65
L004,2025-05-05,9429,268,65,41,15
L004,2025-05-06,9453,271,133,27,65
L004,2025-05-07,9407,284,83,29,35
L004,2025-05-08,9440,270,91,24,95
L004,2025-05-09,9386,271,26,12,95
L004,2025-05-10,9512,289,0,0,0
L005,2025-05-01,10073,248,164,32,15
L005,2025-05-02,10038,254,58,31,15
L005,2025-05-03,10030,261,0,0,0
L005,2025-05-04,10024,258,11,38,95
L005,2025-05-05,10079,261,100,48,5
L005,2025-05-06,10023,261,0,0,0
L005,2025-05-07,10080,250,53,22,5
L005,2025-05-08,10081,259,125,1,65
L005,2025-05-09,10038,252,159,5,65
L005,2025-05-10,10027,267,183,16,35
